external_id,ticket_id,customer_message,true_category,predicted_category,category_confidence,true_priority,predicted_priority,priority_confidence,category_correct,priority_correct,error_type,likely_reason
hf-tobi-006212,hf-tobi-006212,"Support Needed for Data Analytics Tools

Request for an update on data analytics tools used for optimizing investment strategies. Current tools are outdated and lack integration with the current product suite. I would like to request that new tools be updated to include features such as real-time data analysis and machine learning algorithms, which would greatly enhance my ability to make informed investment decisions and improve overall performance. An update implemented soon would be greatly appreciated. Please",product_support,it_support,0.2216,low,low,0.3924,False,True,low_confidence,low_confidence
hf-tobi-018348,hf-tobi-018348,"Medical Data Breach Event

Hello Customer Support, <br><br>I am contacting you to report a medical data breach that happened during the night. This breach might be due to inadequate encryption and legacy software. Despite performing virus scans and updating MATLAB R2021a, the issue remains unresolved. I require your immediate assistance to resolve this. Kindly address this matter promptly and provide measures to avoid similar breaches in the future. Please contact me if you need more details to investigate this further. <br><br>Thank you for your support. Sincerely, [Your Name]",returns_and_exchanges,technical_support,0.2151,low,medium,0.4764,False,False,low_confidence,low_confidence
hf-tobi-012549,hf-tobi-012549,"Concerns Over Billing Discrepancies Identified

Dear Customer Support, our organization is encountering billing discrepancies pertaining to several of our products and services. It is possible that there has been a miscommunication regarding subscription renewals or payment processing errors leading to this issue. Despite reviewing our billing statements and reaching out to customer support, the problem remains unresolved. We would greatly appreciate any assistance you could provide in resolving this matter as soon as possible. Please let us know if any additional information is required. Thank you for your time and assistance.",billing_and_payments,billing_and_payments,0.8263,medium,high,0.4022,True,False,priority_depends_on_metadata,priority_depends_on_metadata
hf-tobi-022029,hf-tobi-022029,"Irregular LED Monitor Shutdowns May Be Related to GPU Overload

I am currently facing irregular shutdowns of my LED monitor, which might be caused by GPU overload. Despite restarting my CPU and closing OBS Studio, the problem continues. These shutdowns are sporadic and unpredictable, complicating my work. I have ensured that my graphics drivers are up to date, but the issue remains unresolved. Could you offer any help in addressing this issue?",product_support,product_support,0.2452,low,medium,0.4779,True,False,low_confidence,low_confidence
hf-tobi-001241,hf-tobi-001241,"ActiveCampaign Integration for Projektor

Deliver instructions for integrating Projektor with ActiveCampaign",technical_support,technical_support,0.229,medium,high,0.4447,True,False,low_confidence,low_confidence
hf-tobi-012221,hf-tobi-012221,"Incident of Data Leaks in Hospital IT Networks

Underwent a data leak incident, possibly disclosing patient information. Early findings indicate that McAfee MongoDB security flaws were the cause. Have already upgraded antivirus software and put in place interim firewall policies.",it_support,technical_support,0.4077,high,medium,0.6126,False,False,low_confidence,low_confidence
hf-tobi-012189,hf-tobi-012189,"Latest Developments in Project Management SaaS Solutions

Could you provide specifics on the latest updates and features in project management SaaS applications? I am keen to learn about the new tools and functionalities that have been added recently.",service_outages_and_maintenance,sales_and_pre_sales,0.2652,high,low,0.3536,False,False,low_confidence,low_confidence
hf-tobi-015092,hf-tobi-015092,"Urgent Improvement of Data Analytics Tools

Request for enhancement of data analytics tools to improve integrations, better investment optimization, and performance tracking. Current tools are insufficient for providing the necessary insights needed for informed decision-making. I would like to see advanced features such as real-time data tracking, customizable dashboards, and integration with investment platforms. This would significantly enhance the investment experience and allow for more informed decisions.",product_support,returns_and_exchanges,0.1866,medium,medium,0.42,False,True,low_confidence,low_confidence
hf-tobi-017097,hf-tobi-017097,"Revise Digital Growth Strategy

Customer Support, requesting an update on our digital strategy to enhance growth and improve client engagement metrics. Our current strategy seems dated, and we believe it's essential to reassess and revamp our approach to stay competitive in the market. We are interested in exploring new innovative ways to engage with clients and improve our overall brand presence. This could include updates to our website, social media, and content marketing efforts.",product_support,service_outages_and_maintenance,0.2222,medium,medium,0.5135,False,True,low_confidence,low_confidence
hf-tobi-011825,hf-tobi-011825,"Concern about Investment Analysis Tool

The investment analysis tool is crucial for accurate forecasting of current market trends. However, it might be outdated due to improper integration of algorithms and datasets. After reviewing the data sources and recalibrating the system, the issues still persist. Please assist us in resolving this issue as soon as possible.",customer_service,returns_and_exchanges,0.2765,medium,low,0.5945,False,False,low_confidence,low_confidence
