external_id,customer_message,true_category,true_priority,status,channel,source,ticket_type,language,reference_answer,tags,category,priority,ticket_id
hf-tobi-000722,"Request for Support with Keras on Azure

Customer requires assistance with integrating Keras into their Microsoft Azure investment data analytics project. Could you please provide detailed, step-by-step instructions on how to utilize Keras within Azure for data analysis? Additional resources or documentation to streamline this process would be highly appreciated. Thank you for your time and support. I look forward to your prompt response.",sales_and_pre_sales,high,new,dataset,Tobi-Bueck/customer-support-tickets,Request,en,"<name> is happy to assist with integrating Keras into Microsoft Azure investment data analytics. To begin, I recommend consulting the official Azure documentation, which offers comprehensive guidance on deploying Keras models on Azure. You can also find detailed step-by-step instructions on the Azure Machine Learning website. For additional resources, visit the Azure portal and search for Keras tutorials and documentation. If you have specific questions or need further assistance, please let us know.",IT|Tech Support|Documentation|Support|Analytics,sales_and_pre_sales,high,hf-tobi-000722
hf-tobi-009355,"Customer Support, exploring digital strategies to enhance brand growth. Interested in detailed information on the topics you cover and the digital marketing tactics that have proven effective. Specifically, keen to learn about the social media strategy and how it is measured in the success of digital campaigns. Would greatly appreciate any information you can provide. Thank you for your assistance. Looking forward to hearing back soon. Help is greatly appreciated.",technical_support,high,new,dataset,Tobi-Bueck/customer-support-tickets,Request,en,"<name>, thank you for reaching out to our customer support team. We would be happy to provide information on digital strategies that drive brand growth. Our company approaches digital marketing with a multi-channel strategy, including social media, email marketing, and search engine optimization. The success of our digital campaigns is measured by engagement rates and website traffic. For detailed information, let's schedule a call at a convenient time to discuss further.",Feedback|Sales|Marketing|Tech Support,technical_support,high,hf-tobi-009355
hf-tobi-015006,"Dear customer support, we are currently facing critical issues with our investment data analytics services, which are crucial for our reporting. Recently, there have been outages that we suspect are due to server overload or configuration errors. We have attempted to restart the servers and apply updates, but we need immediate assistance to prevent further disruptions.",service_outages_and_maintenance,high,new,dataset,Tobi-Bueck/customer-support-tickets,Incident,en,"The customer support team is here to assist you, valued customer. The <name> Service Desk team is ready to help with the critical issue you are experiencing with your investment data analytics services. We apologize for the inconvenience and understand the urgency of the matter. In order to provide the best possible assistance, could you please provide us with the exact dates and times when the outages occurred and any error messages you may have received? This information will help us address the issue more effectively.",Outage|Performance|Network|IT|Tech Support,service_outages_and_maintenance,high,hf-tobi-015006
hf-tobi-000738,"Slow Performance Report in Project Management SaaS

Users have reported sluggish performance in the project management SaaS platform, potentially due to recent database modifications. Restarting the services and clearing the cache has helped improve the situation. Assistance is needed to resolve this issue effectively.",product_support,low,new,dataset,Tobi-Bueck/customer-support-tickets,Incident,en,"Thank you for reporting the slow performance issue with the project management SaaS. We acknowledge that recent database updates may have contributed, and restarting services along with cache clearance appears to alleviate the problem. We would like to investigate further to identify an appropriate solution. Could you please provide details about any error messages, symptoms experienced, and when the issue began? Additionally, knowing the number of users affected would be helpful. If necessary, we can arrange a call to discuss this matter further.",Performance|Outage|Disruption|Recovery|IT|Tech Support,product_support,low,hf-tobi-000738
hf-tobi-018619,"Inquiry on System Specifications

I am contacting you to request the system requirements needed for our setup to operate at its best, especially with multiple integrations. Could you kindly share the precise details required to achieve smooth operation? It would be of great help if you could outline the recommended hardware and software specifications. This information will be crucial in our planning and system configuration. I look forward to your response and eagerly await your guidance.",product_support,high,new,dataset,Tobi-Bueck/customer-support-tickets,Request,en,"Dear <name>, I am delighted to assist you with your inquiry regarding system specifications. For optimal performance and seamless integration, our system requires a minimum of 8 gigabytes of RAM and a 2.5 gigahertz processor. To ensure efficient functioning, we recommend utilizing a 64-bit operating system and the most recent version of our software. Additionally, a dedicated graphics card and a solid-state drive are highly suggested for hardware. I am ready to provide further details and address any specific queries you might have. If you prefer, we can discuss these requirements in more detail over a call at your convenience. You can reach me at <tel_num> or I can send you a comprehensive specification sheet via email at <email>. Thank you.",Technical|Hardware|Software|Guidance|Documentation,product_support,high,hf-tobi-018619
hf-tobi-003069,"Implementing Data Analytics Solutions for Financial Optimization

Customer Support, I am reaching out to inquire about integrating data analytics tools to optimize investments within financial firm solutions. Could you provide guidance on effectively implementing these tools to enhance investment strategies and improve overall performance? I would appreciate any recommendations or best practices you can share. Thank you for your time and assistance. I look forward to your response.",product_support,medium,new,dataset,Tobi-Bueck/customer-support-tickets,Request,en,"<name>, thank you for your email. I am happy to assist with integrating data analytics tools for investment optimization. To effectively implement these tools, I recommend starting with a comprehensive analysis of your current investment strategies and performance metrics. Please share details about your existing setup and goals, and we can schedule a call at your convenience to discuss tailored recommendations and best practices for enhancing your investment strategies. Let us know a suitable time for a call at <tel_num>.",Feature|Performance|Feedback|IT|Tech Support,product_support,medium,hf-tobi-003069
hf-tobi-017401,"Failed Investment Projections

Investment forecasts have come to a standstill. There seems to be a malfunction with the data analytics tool. I have already restarted Keras and reviewed the Airtable connections.",customer_service,medium,new,dataset,Tobi-Bueck/customer-support-tickets,Incident,en,I will look into the problem with your data analytics tool and the Keras restart. Please provide any error messages you received for more detailed assistance.,Technical|Bug|Performance|Resolution|Documentation,customer_service,medium,hf-tobi-017401
hf-tobi-023925,"Secure Data Transfer Process Malfunction

Dear Support Team,\n\nI hope this message finds you well. I am contacting you to report a recent malfunction in our secure data transfer process, which happened during the night and did not provide any warnings or error messages. Our technical team has been unable to identify the reason for this malfunction.\n\nWe believe the outdated firmware of the RAID-Controller could be the source of the problem. Our system has been functioning without issues until now, and we haven't made any recent changes to the hardware or configuration.\n\nWe have attempted to resolve the issue by restarting the systems, inspecting the cables, and updating Excel, but none of these actions have been effective, and the problem persists.\n\nCould you please offer assistance to resolve this issue promptly? Any recommendations or guidance you can provide would be greatly appreciated.\n\nThank you in advance for your help.\n\nBest regards,\n[Your Name]",product_support,medium,new,dataset,Tobi-Bueck/customer-support-tickets,Incident,en,"I will help with the secure data transfer issue. Could you please provide the current version of the RAID-Controller firmware? I will check for any available updates. Additionally, I propose scheduling a call at your convenience at <tel_num> to further diagnose the problem.",Technical|Security|Bug|Hardware|Crash|Resolution|Guidance|Documentation,product_support,medium,hf-tobi-023925
hf-tobi-003145,"Request for Optimization of Scalable SaaS Platform

We are seeking assistance to enhance and optimize our scalable SaaS platform. The primary objective is to improve integration efficiency across various software and hardware products, facilitating seamless interactions and elevating the overall user experience. Your prompt attention to this matter and a proposed solution would be greatly appreciated. Please inform us if any additional information is needed. We look forward to your response soon.",customer_service,high,new,dataset,Tobi-Bueck/customer-support-tickets,Change,en,"Thank you for reaching out regarding the optimization of your scalable SaaS platform to enhance integration performance across multiple software and hardware products. To better understand your needs, could you please share details about the specific software and hardware involved, as well as the current challenges encountered with integration? Additionally, understanding your ideal user experience would be helpful. This information will enable us to provide an accurate timeline for the proposed improvements. We are available to discuss further at your convenience.",Performance|Feature|IT|Tech Support,customer_service,high,hf-tobi-003145
hf-tobi-006419,"Request to Update Digital Marketing Strategies

Customer Support, requesting an update on digital marketing strategies to enhance brand growth and customer engagement across multiple platforms. Our current strategies are yielding the desired results, but we need to adapt to changing market trends. We would greatly appreciate a comprehensive plan to improve our online presence and reach a wider audience. This plan should include social media, email marketing, and search engine optimization. We look forward to your response.",customer_service,medium,new,dataset,Tobi-Bueck/customer-support-tickets,Change,en,Reviewing the request for updating the digital marketing strategy. Please allow us to contact you at <tel_num> to discuss and provide a comprehensive plan to enhance your online presence.,Feedback|Sales|IT|Tech Support,customer_service,medium,hf-tobi-006419
hf-tobi-007256,"Recent Decline in Engagement Metrics Noted Online

We have observed a decrease in engagement metrics. This could be due to recent algorithm updates. We have modified our target audience and ad creatives, and require support.",product_support,medium,new,dataset,Tobi-Bueck/customer-support-tickets,Problem,en,,Feedback|Performance|Feature,product_support,medium,hf-tobi-007256
hf-tobi-013928,"Support for Unauthorised Access Incident

There has been an unauthorized access attempt on the hospital system, which may have compromised secure medical data. Immediate assistance is required.",product_support,high,new,dataset,Tobi-Bueck/customer-support-tickets,Incident,en,"We need to assist with the security incident involving the hospital system. To provide effective support, could you please provide details about the unauthorized access attempt, including the date and time it occurred and any error messages received? For further discussion, we are available to call at your convenience. Please let us know a suitable time to reach you at <tel_num>.",Security|IT|Tech Support|Alert,product_support,high,hf-tobi-013928
